Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN30373,3,0,0,2,Meal Plan 1,1,Room_Type 4,144,2018,8,4,Online,0,0,0,146.7,0,Not_Canceled
INN13521,2,0,0,3,Meal Plan 1,1,Room_Type 2,3,2017,11,5,Online,0,0,0,105.5,1,Not_Canceled
INN19432,2,0,1,5,Meal Plan 1,0,Room_Type 4,129,2018,10,10,Online,0,0,0,132.3,0,Canceled
INN31720,2,1,2,4,Meal Plan 1,0,Room_Type 1,132,2018,7,14,Online,0,0,0,114.75,0,Canceled
INN01114,2,0,1,3,Meal Plan 1,0,Room_Type 1,166,2017,10,12,Online,0,0,0,89.25,2,Not_Canceled
INN32877,2,0,1,4,Meal Plan 1,0,Room_Type 1,74,2018,3,30,Online,0,0,0,82.45,0,Canceled
INN20906,2,0,2,1,Meal Plan 1,0,Room_Type 1,20,2018,4,3,Offline,0,0,0,95,0,Not_Canceled
INN04752,2,0,0,1,Not Selected,0,Room_Type 1,225,2018,11,25,Online,0,0,0,67.5,0,Canceled
INN33279,1,0,1,3,Meal Plan 1,0,Room_Type 1,0,2018,11,14,Corporate,0,0,0,95,2,Not_Canceled
INN02031,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,Online,0,0,0,100,0,Canceled
INN04064,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,112,1,Canceled
INN35768,2,0,0,3,Not Selected,0,Room_Type 1,174,2018,6,29,Online,0,0,0,85.5,1,Not_Canceled
INN09480,4,0,1,2,Meal Plan 1,0,Room_Type 7,31,2018,9,5,Online,0,0,0,197.65,1,Not_Canceled
INN08386,2,0,2,2,Not Selected,0,Room_Type 1,98,2018,8,14,Online,0,0,0,78.35,1,Not_Canceled
INN19959,2,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,4,17,Online,0,0,0,81.9,1,Not_Canceled
INN29774,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,2018,5,2,Offline,0,0,0,100,1,Not_Canceled
INN04156,2,0,2,3,Meal Plan 1,0,Room_Type 1,6,2018,2,21,Offline,0,0,0,70,0,Not_Canceled
INN21971,2,0,1,2,Meal Plan 1,0,Room_Type 1,112,2018,4,11,Online,0,0,0,87.3,1,Not_Canceled
INN19428,2,0,1,2,Meal Plan 1,0,Room_Type 1,84,2017,10,16,Online,0,0,0,89.25,2,Not_Canceled
INN24680,2,1,2,2,Meal Plan 1,0,Room_Type 1,45,2018,9,11,Online,0,0,0,162.79,2,Not_Canceled
INN23819,2,0,4,6,Not Selected,0,Room_Type 1,207,2018,8,13,Online,0,0,0,81.6,0,Canceled
INN23283,2,0,0,3,Meal Plan 1,0,Room_Type 1,36,2018,10,20,Offline,0,0,0,85,0,Not_Canceled
INN00697,2,0,2,4,Not Selected,0,Room_Type 1,207,2018,7,28,Online,0,0,0,80.75,1,Not_Canceled
INN29860,2,0,2,0,Meal Plan 1,0,Room_Type 1,35,2018,3,13,Online,0,0,0,100.1,1,Not_Canceled
INN11257,1,0,0,3,Meal Plan 1,0,Room_Type 1,145,2018,6,2,Online,0,0,0,95.4,0,Canceled
INN15910,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,8,16,Online,0,0,0,207,1,Not_Canceled
INN26006,2,0,0,3,Meal Plan 1,0,Room_Type 1,101,2018,4,6,Online,0,0,0,90.3,1,Not_Canceled
INN33191,2,0,0,2,Meal Plan 2,0,Room_Type 1,30,2017,9,30,Offline,0,0,0,121,0,Not_Canceled
INN14619,2,1,0,2,Meal Plan 1,0,Room_Type 1,55,2018,11,11,Online,0,0,0,113.4,1,Canceled
INN29493,1,0,0,2,Meal Plan 2,0,Room_Type 1,6,2017,12,10,Online,0,0,0,0,0,Not_Canceled
INN17644,2,0,2,1,Not Selected,0,Room_Type 1,18,2018,12,31,Online,0,0,0,119.1,2,Not_Canceled
INN16047,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61,0,Canceled
INN34733,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60,0,Canceled
INN15359,2,0,1,2,Meal Plan 1,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,75,0,Canceled
INN33310,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,19,Corporate,0,0,0,65,0,Not_Canceled
INN10495,1,0,0,1,Meal Plan 1,0,Room_Type 1,24,2018,2,24,Online,0,0,0,85,2,Not_Canceled
INN01691,2,0,0,2,Not Selected,0,Room_Type 1,131,2018,5,12,Online,0,0,0,94.5,0,Canceled
INN26944,2,0,1,2,Meal Plan 1,0,Room_Type 1,56,2018,4,4,Offline,0,0,0,75,0,Not_Canceled
INN36269,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110,0,Canceled
INN16858,2,0,2,2,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,87,0,Not_Canceled
INN13882,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,3,30,Online,0,0,0,80.1,0,Not_Canceled
INN23915,2,0,1,2,Meal Plan 1,0,Room_Type 1,10,2018,3,14,Offline,0,0,0,80,0,Not_Canceled
INN04006,2,0,2,5,Meal Plan 1,0,Room_Type 1,90,2017,11,24,Online,0,0,0,72.25,2,Not_Canceled
INN28044,3,0,2,1,Meal Plan 1,0,Room_Type 4,72,2018,5,1,Online,0,0,0,159.3,2,Not_Canceled
INN17975,2,0,2,5,Meal Plan 1,0,Room_Type 1,49,2018,11,14,Offline,0,0,0,80,0,Canceled
INN13610,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Offline,0,0,0,115,1,Canceled
INN34046,1,0,0,2,Meal Plan 1,0,Room_Type 1,5,2017,11,18,Corporate,1,0,3,65,0,Not_Canceled
INN12738,2,0,2,1,Not Selected,0,Room_Type 1,17,2018,10,9,Offline,0,0,0,85,0,Not_Canceled
INN01059,2,0,0,1,Not Selected,0,Room_Type 1,94,2018,12,23,Online,0,0,0,79.2,1,Not_Canceled
INN23739,2,0,1,2,Meal Plan 2,0,Room_Type 1,309,2018,5,13,Offline,0,0,0,101,0,Canceled
INN21559,3,0,0,3,Meal Plan 1,0,Room_Type 4,46,2018,11,3,Online,0,0,0,129.6,2,Not_Canceled
INN07789,1,0,0,2,Meal Plan 1,0,Room_Type 1,88,2018,5,13,Online,0,0,0,121.5,0,Not_Canceled
